Reference, Value, Footprint, Datasheet, Characteristics, Description, MFN, MFP, Package ID, Source1, Source1Part, Source1Price, Source1Link, Notes, MFS
"P18","GROUND","Wire_Pads:SolderWirePad_single_1-5mmDrill",""
"R12","1M","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Vishay","CCF551M00FKE36","MFR","Mouser","71-CCF551M00FKE36","0.16€","http://www.mouser.es/ProductDetail/Vishay/CCF551M00FKE36/?qs=%2fha2pyFaduid2YKtrsL5dWVM0U4IB6lgrjp5sO2j643o8cKOrmw6wg%3d%3d","Value",""
"R3","68k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Yageo","MFR-25FTE52-68K","MFR","Mouser","603-MFR-25FTE52-68K","0.113€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FTE52-68K/?qs=sGAEpiMZZMu61qfTUdNhG0IXHLFuiNndqkYkeLIi2jk%3d","Value",""
"R5","100k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.5W, 500V","Metal film through hole resistor","Vishay","CMF60100K00FKEB","CMFIndustrial","Mouser","71-CMF60100K00FKEB","0.556€","http://www.mouser.es/ProductDetail/Vishay-Dale/CMF60100K00FKEB/?qs=sGAEpiMZZMu61qfTUdNhGwBiNiGBqN%2fzagNcyJJMTlY%3d","Value",""
"R6","820R","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Yageo","MFR-25FBF52-820R","MFR","Mouser","603-MFR-25FBF52-820R","0.113€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FBF52-820R/?qs=sGAEpiMZZMu61qfTUdNhG0IXHLFuiNndpbo7t%252bqtiYY%3d","Value",""
"R13","820R","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Yageo","MFR-25FBF52-820R","MFR","Mouser","603-MFR-25FBF52-820R","0.113€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FBF52-820R/?qs=sGAEpiMZZMu61qfTUdNhG0IXHLFuiNndpbo7t%252bqtiYY%3d","Value",""
"R10","100k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.5W, 500V","Metal film through hole resistor","Vishay","CMF60100K00FKEB","CMFIndustrial","Mouser","71-CMF60100K00FKEB","0.556€","http://www.mouser.es/ProductDetail/Vishay-Dale/CMF60100K00FKEB/?qs=sGAEpiMZZMu61qfTUdNhGwBiNiGBqN%2fzagNcyJJMTlY%3d","Value",""
"R16","100k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.5W, 500V","Metal film through hole resistor","Vishay","CMF60100K00FKEB","CMFIndustrial","Mouser","71-CMF60100K00FKEB","0.556€","http://www.mouser.es/ProductDetail/Vishay-Dale/CMF60100K00FKEB/?qs=sGAEpiMZZMu61qfTUdNhGwBiNiGBqN%2fzagNcyJJMTlY%3d","Value",""
"R7","220k","Resistors_THT:Resistor_Horizontal_RM10mm","","2W, 500V","Metal film through hole resistor","Yageo","FMP200JR-52-220K","FMP","Mouser","603-FMP200JR-52-220K","0.245€","http://www.mouser.es/ProductDetail/Yageo/FMP200JR-52-220K/?qs=sGAEpiMZZMu61qfTUdNhGztMfEiwFKKT8tJfn5xrilY%3d","Value",""
"R19","220k","Resistors_THT:Resistor_Horizontal_RM10mm","","2W, 500V","Metal film through hole resistor","Yageo","FMP200JR-52-220K","FMP","Mouser","603-FMP200JR-52-220K","0.245€","http://www.mouser.es/ProductDetail/Yageo/FMP200JR-52-220K/?qs=sGAEpiMZZMu61qfTUdNhGztMfEiwFKKT8tJfn5xrilY%3d","Value",""
"R14","47k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.5W, 700W","Metal film through hole resistor","KOA Speer","MF1/2DC4702F","MF","Mouser","660-MF1/2DC4702F","0.161€","http://www.mouser.es/ProductDetail/KOA-Speer/MF1-2DC4702F/?qs=sGAEpiMZZMu61qfTUdNhG0RUkTLGOdTMbrAUdwu816A%3d","Value",""
"R8","470k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W, 250V","Metal film through hole resistor","Yageo","MFR-25FRF52-470K","MFR","Mouser","603-MFR-25FRF52-470K","0.087€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FRF52-470K/?qs=sGAEpiMZZMu61qfTUdNhG0IXHLFuiNndCa9frJHvSy8%3d","Value",""
"R11","470k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W, 250V","Metal film through hole resistor","Yageo","MFR-25FRF52-470K","MFR","Mouser","603-MFR-25FRF52-470K","0.087€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FRF52-470K/?qs=sGAEpiMZZMu61qfTUdNhG0IXHLFuiNndCa9frJHvSy8%3d","Value",""
"R17","33k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.6W, 350V","Metal film through hole resistor","Yageo","603-MF0207FTE52-33K","MF0","Mouser","603-MF0207FTE52-33K","0.104€","http://www.mouser.es/ProductDetail/Yageo/MF0207FTE52-33K/?qs=sGAEpiMZZMu61qfTUdNhG9FodMeJR7x9rJbMY0rijM4%3d","Value",""
"R18","33R","Resistors_THT:Resistor_Horizontal_RM10mm","","2W, 500V","Metal film through hole resistor","Vishay","PR02000203309JR500","5073","Mouser","594-5083NW33R00J","0.321€","http://www.mouser.es/ProductDetail/Vishay-BC-Components/PR02000203309JR500/?qs=sGAEpiMZZMu61qfTUdNhG%2f4r7Iw6CIkydikjkbdzDms%3d","Value",""
"R20","47R","Resistors_THT:Resistor_Horizontal_RM10mm","","2W, 500V","Metal film through hole resistor","Vishay","PR02000204709JR500","5073","Mouser","594-5083NW47R00J","0.321€","http://www.mouser.es/ProductDetail/Vishay-BC-Components/PR02000203309JR500/?qs=sGAEpiMZZMu61qfTUdNhG%2f4r7Iw6CIkydikjkbdzDms%3d","Value",""
"R9","10k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Yageo","MFR-25FRF52-10K","MFR","Mouser","603-MFR-25FRF52-10K","0.094€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FRF52-10K/?qs=sGAEpiMZZMu61qfTUdNhGztMfEiwFKKTpKeEBKehEYg%3d","Value",""
"C11","680n","Capacitors_THT:C_Rect_L7_W4.5_P5","","50 VDC","Metallized Polyester (PET) Capacitors PCM 5 mm","WIMA","MKS2B036801C00JA00","MKS2","Mouser","505-MKS2B036801C00JA","0.342€","http://www.mouser.es/ProductDetail/WIMA/MKS2B036801C00JA00/?qs=sGAEpiMZZMv1cc3ydrPrF7l45uRd9dVhXD8p2Cb2qBg%3d","Value",""
"C8","22u","Capacitors_THT:C_Radial_D6.3_L11.2_P2.5","","35VDC","Electrolitic Aluminium Radial Lead Type","Panasonic","ECA-1VM220B","M","Mouser","ECA-1VM220B","0.16€","http://www.mouser.es/ProductDetail/Panasonic/ECA-1VM220B/?qs=sGAEpiMZZMvwFf0viD3Y3ffldXPLozaytDH8DKgv7WI%3d","Value",""
